Course ID,Club Name,Course Name,City,State,
3668,Timber Banks Golf Club,Timber Banks Golf Club,Baldwinsville,NY,10599
20957,Timber Point Golf Club,Timber Point Golf Club - Blue Course 2012,Great River,NY,10600
20955,Timber Point Golf Club,Timber Point Golf Club - Red Course 2012,Great River,NY,10601
24153,Timber Point Golf Club,Timber Point Golf Club - Red/Blue,Great River,NY,10602
6854,Timber Point Golf Club,Timber Point Golf Club - Red/Blue - Old,Great River,NY,10603
20958,Timber Point Golf Club,Timber Point Golf Club - Red/Blue 2012,Great River,NY,10604
24154,Timber Point Golf Club,Timber Point Golf Club - Red/White,Great River,NY,10605
6855,Timber Point Golf Club,Timber Point Golf Club - Red/White - Old,Great River,NY,10606
20959,Timber Point Golf Club,Timber Point Golf Club - Red/White 2012,Great River,NY,10607
20956,Timber Point Golf Club,Timber Point Golf Club - White Course 2012,Great River,NY,10608
24155,Timber Point Golf Club,Timber Point Golf Club - White/Blue,Great River,NY,10609
6856,Timber Point Golf Club,Timber Point Golf Club - White/Blue - Old,Great River,NY,10610
20960,Timber Point Golf Club,Timber Point Golf Club - White/Blue 2012,Great River,NY,10611
3341,Timber Ridge Golf Club,Timber Ridge Golf Club,Brockport,NY,10612
3691,Tioga Country Club,Tioga Country Club,Nichols,NY,10613
3758,Tomacys GC,Tomacys GC,Adams,NY,10614
3712,Top of the World Golf Club,Top of the World Golf Club,Lake George,NY,10615
13745,Towers Country Club,Towers Country Club,Floral Park,NY,10616
24109,Town of Colonie GC,Town of Colonie GC - Blue,Schenectady,NY,10617
3743,Town of Colonie GC,Town of Colonie GC - Blue/Green Course,Schenectady,NY,10618
24111,Town of Colonie GC,Town of Colonie GC - Green,Schenectady,NY,10619
3746,Town of Colonie GC,Town of Colonie GC - Green/Red Course,Schenectady,NY,10620
24108,Town of Colonie GC,Town of Colonie GC - Red,Schenectady,NY,10621
3744,Town of Colonie GC,Town of Colonie GC - Red/White Course,Schenectady,NY,10622
