Club Name,Course Name,City,State,Order,Full Name,Course ID
Lake of the Pines CC,Lake of the Pines CC,Auburn,CA,1265,"Lake of the Pines CC, Auburn, CA",7819
Lake Oroville G&EC,Lake Oroville G&EC,Oroville,CA,1266,"Lake Oroville G&EC, Oroville, CA",17934
Lake Redding GC,Lake Redding GC,Redding,CA,1267,"Lake Redding GC, Redding, CA",2804
Lake Shastina GR,Lake Shastina GR - Championship,Weed,CA,1268,"Lake Shastina GR - Championship, Weed, CA",14240
Lake Shastina GR,Lake Shastina GR - Scottish Links,Weed,CA,1269,"Lake Shastina GR - Scottish Links, Weed, CA",14241
Lake Tahoe GC,Lake Tahoe GC,South Lake Tahoe,CA,1270,"Lake Tahoe GC, South Lake Tahoe, CA",14247
Lake Tamarisk Golf Course,Lake Tamarisk Golf Course,Desert Center,CA,1271,"Lake Tamarisk Golf Course, Desert Center, CA",26911
Lake Wildwood CC,Lake Wildwood CC,Penn Valley,CA,1272,"Lake Wildwood CC, Penn Valley, CA",7794
Lakeside Golf Club,Lakeside Golf Club,Burbank,CA,1273,"Lakeside Golf Club, Burbank, CA",2507
Lakewood Country Club,Lakewood Country Club,Lakewood,CA,1274,"Lakewood Country Club, Lakewood, CA",2175
Langtry Farms,Langtry Farms,Middletown,CA,1275,"Langtry Farms, Middletown, CA",17786
Las Posas Country Club,Las Posas Country Club,Camarillo,CA,1276,"Las Posas Country Club, Camarillo, CA",2653
Las Positas GC,Las Positas GC,Livermore,CA,1277,"Las Positas GC, Livermore, CA",2793
Lava Creek GC,Lava Creek GC,Paradise,CA,1278,"Lava Creek GC, Paradise, CA",14290
Lemoore GC,Lemoore GC,Lemoore,CA,1279,"Lemoore GC, Lemoore, CA",2746
Likely Links,Likely Links,Likely,CA,1280,"Likely Links, Likely, CA",17971
Lincoln Hills GC,Lincoln Hills GC - Hills,Lincoln,CA,1281,"Lincoln Hills GC - Hills, Lincoln, CA",2762
Lincoln Hills GC,Lincoln Hills GC - Orchard,Lincoln,CA,1282,"Lincoln Hills GC - Orchard, Lincoln, CA",2749
Lincoln Park GC,Lincoln Park GC,San Francisco,CA,1283,"Lincoln Park GC, San Francisco, CA",2668
Links Course at Paso Robles,Links Course at Paso Robles,Paso Robles,CA,1284,"Links Course at Paso Robles, Paso Robles, CA",14292
Little River Inn GC,Little River Inn GC,Little River,CA,1285,"Little River Inn GC, Little River, CA",2723
Lockeford Springs GC,Lockeford Springs GC,Lodi,CA,1286,"Lockeford Springs GC, Lodi, CA",14296
Lomas Santa Fe Country Club,Lomas Santa Fe Country Club,Solana Beach,CA,1287,"Lomas Santa Fe Country Club, Solana Beach, CA",2506
Lomas Santa Fe Executive Golf Course,Lomas Santa Fe Executive Golf Course,Solana Beach,CA,1288,"Lomas Santa Fe Executive Golf Course, Solana Beach, CA",5678
Lone Tree GC,Lone Tree GC,Antioch,CA,1289,"Lone Tree GC, Antioch, CA",14279
Los Altos GCC,Los Altos GCC,Los Altos,CA,1290,"Los Altos GCC, Los Altos, CA",14233
Los Amigos Golf Course,Los Amigos Golf Course,Downey,CA,1291,"Los Amigos Golf Course, Downey, CA",3653
Los Coyotes Country Club,Los Coyotes Country Club - Lake/Valley,Buena Park,CA,1292,"Los Coyotes Country Club - Lake/Valley, Buena Park, CA",2383
Los Coyotes Country Club,Los Coyotes Country Club - Valley/Vista,Buena Park,CA,1293,"Los Coyotes Country Club - Valley/Vista, Buena Park, CA",2381
Los Coyotes Country Club,Los Coyotes Country Club - Vista/Lake,Buena Park,CA,1294,"Los Coyotes Country Club - Vista/Lake, Buena Park, CA",2382
Los Feliz Municipal Golf Course,Los Feliz Municipal Golf Course,Los Angeles,CA,1295,"Los Feliz Municipal Golf Course, Los Angeles, CA",24006
Los Lagos GC,Los Lagos GC,San Jose,CA,1296,"Los Lagos GC, San Jose, CA",2662
Los Robles Greens Golf Course,Los Robles Greens Golf Course,Thousand Oaks,CA,1297,"Los Robles Greens Golf Course, Thousand Oaks, CA",3650
Los Serranos Golf Club,Los Serranos Golf Club - NORTH,Chino Hills,CA,1298,"Los Serranos Golf Club - NORTH, Chino Hills, CA",14479
Los Serranos Golf Club,Los Serranos Golf Club - SOUTH,Chino Hills,CA,1299,"Los Serranos Golf Club - SOUTH, Chino Hills, CA",2159
Los Verdes Golf & Country Club,Los Verdes Golf & Country Club,Rancho Palos Verdes,CA,1300,"Los Verdes Golf & Country Club, Rancho Palos Verdes, CA",3597
Lost Canyons Golf Club (CLOSED),Lost Canyons Golf Club (CLOSED) - Shadow Course,Simi Valley,CA,1301,"Lost Canyons Golf Club (CLOSED) - Shadow Course, Simi Valley, CA",2374
Lost Canyons Golf Club (CLOSED),Lost Canyons Golf Club (CLOSED) - Sky Course,Simi Valley,CA,1302,"Lost Canyons Golf Club (CLOSED) - Sky Course, Simi Valley, CA",2373
Mace Meadows GC,Mace Meadows GC - Mace Meadow,Pioneer,CA,1303,"Mace Meadows GC - Mace Meadow, Pioneer, CA",26592
Madera GCC,Madera GCC,Madera,CA,1304,"Madera GCC, Madera, CA",7767
Madera Municipal GC,Madera Municipal GC,Madera,CA,1305,"Madera Municipal GC, Madera, CA",13977
Maderas Golf Club,Maderas Golf Club,Poway,CA,1306,"Maderas Golf Club, Poway, CA",3952
Maggie Hathaway Par 3 Golf Course,Maggie Hathaway Par 3 Golf Course,Los Angeles,CA,1307,"Maggie Hathaway Par 3 Golf Course, Los Angeles, CA",18057
Malibu Golf Club - CLOSED,Malibu Golf Club - CLOSED,Malibu,CA,1308,"Malibu Golf Club - CLOSED, Malibu, CA",5654
Mallard Lake GC,Mallard Lake GC,Yuba City,CA,1309,"Mallard Lake GC, Yuba City, CA",2811
Manteca Park GC,Manteca Park GC,Manteca,CA,1310,"Manteca Park GC, Manteca, CA",2721
Marbella Country Club,Marbella Country Club,San Juan Capistrano,CA,1311,"Marbella Country Club, San Juan Capistrano, CA",2484
Mare Island GC,Mare Island GC,Vallejo,CA,1312,"Mare Island GC, Vallejo, CA",2784
Marin CC,Marin CC,Novato,CA,1313,"Marin CC, Novato, CA",7789
Marine Memorial Golf Course Barstow,Marine Memorial Golf Course Barstow,Barstow,CA,1314,"Marine Memorial Golf Course Barstow, Barstow, CA",5658
Marine Memorial Golf Course Camp Pendleton,Marine Memorial Golf Course Camp Pendleton,Camp Pendleton,CA,1315,"Marine Memorial Golf Course Camp Pendleton, Camp Pendleton, CA",3935
Mariner's Point,Mariner's Point,Foster City,CA,1316,"Mariner's Point, Foster City, CA",14230
Marrakesh Country Club,Marrakesh Country Club,Palm Desert,CA,1317,"Marrakesh Country Club, Palm Desert, CA",2483
Marriott Desert Springs Resort & Spa,Marriott Desert Springs Resort & Spa - PALMS,Palm Desert,CA,1318,"Marriott Desert Springs Resort & Spa - PALMS, Palm Desert, CA",2649
Marriott Desert Springs Resort & Spa,Marriott Desert Springs Resort & Spa - VALLEY,Palm Desert,CA,1319,"Marriott Desert Springs Resort & Spa - VALLEY, Palm Desert, CA",2648
Marriott Manhattan Beach Par 3,Marriott Manhattan Beach Par 3,Manhattan Beach,CA,1320,"Marriott Manhattan Beach Par 3, Manhattan Beach, CA",14866
Marriott Shadow Ridge Golf Club,Marriott Shadow Ridge Golf Club,Palm Desert,CA,1321,"Marriott Shadow Ridge Golf Club, Palm Desert, CA",2587
Marshall Canyon Golf Course,Marshall Canyon Golf Course,La Verne,CA,1322,"Marshall Canyon Golf Course, La Verne, CA",2182
Marshallia Ranch Golf Course (CLOSED),Marshallia Ranch Golf Course (CLOSED),Vandenberg AFB,CA,1323,"Marshallia Ranch Golf Course (CLOSED), Vandenberg AFB, CA",5661
Martis Camp,Martis Camp,Truckee,CA,1324,"Martis Camp, Truckee, CA",7742
Mather GC,Mather GC,Mather,CA,1325,"Mather GC, Mather, CA",2819
Mayacama GC,Mayacama GC,Santa Rosa,CA,1326,"Mayacama GC, Santa Rosa, CA",7810
McCloud GC,McCloud GC,McCloud,CA,1327,"McCloud GC, McCloud, CA",2670
McInnis Park GC,McInnis Park GC,San Rafael,CA,1328,"McInnis Park GC, San Rafael, CA",14302
Meadow Club,Meadow Club,Fairfax,CA,1329,"Meadow Club, Fairfax, CA",7808
Meadowlark Golf Club,Meadowlark Golf Club,Huntington Beach,CA,1330,"Meadowlark Golf Club, Huntington Beach, CA",3649
Meadowood Napa Valley GC,Meadowood Napa Valley GC,St. Helena,CA,1331,"Meadowood Napa Valley GC, St. Helena, CA",14265
Menifee Lakes Country Club,Menifee Lakes Country Club - LAKES,Menifee,CA,1332,"Menifee Lakes Country Club - LAKES, Menifee, CA",3620
Menifee Lakes Country Club,Menifee Lakes Country Club - PALMS,Menifee,CA,1333,"Menifee Lakes Country Club - PALMS, Menifee, CA",3619
Menlo CC,Menlo CC,Woodside,CA,1334,"Menlo CC, Woodside, CA",7795
Merced GCC,Merced GCC,Merced,CA,1335,"Merced GCC, Merced, CA",17947
Mesa Verde Country Club,Mesa Verde Country Club,Costa Mesa,CA,1336,"Mesa Verde Country Club, Costa Mesa, CA",2482
Mesquite Golf Club,Mesquite Golf Club,Palms Springs,CA,1337,"Mesquite Golf Club, Palms Springs, CA",2552
Metropolitan GL,Metropolitan GL,Oakland,CA,1338,"Metropolitan GL, Oakland, CA",2776
Micke Grove GL,Micke Grove GL,Lodi,CA,1339,"Micke Grove GL, Lodi, CA",2809
Mile Square Golf Club,Mile Square Golf Club - CLASSIC,Fountain Valley,CA,1340,"Mile Square Golf Club - CLASSIC, Fountain Valley, CA",3646
Mile Square Golf Club,Mile Square Golf Club - PLAYERS,Fountain Valley,CA,1341,"Mile Square Golf Club - PLAYERS, Fountain Valley, CA",3652
Mill Valley GC,Mill Valley GC,Mill Valley,CA,1342,"Mill Valley GC, Mill Valley, CA",2751
Mill Valley GC,Mill Valley GC - Short Course,Mill Valley,CA,1343,"Mill Valley GC - Short Course, Mill Valley, CA",14689
Miramar Memorial Golf Course,Miramar Memorial Golf Course,San Diego,CA,1344,"Miramar Memorial Golf Course, San Diego, CA",3919
Mission Bay Golf Course,Mission Bay Golf Course,San Diego,CA,1345,"Mission Bay Golf Course, San Diego, CA",17707
Mission Hills Country Club,Mission Hills Country Club - ARNOLD PALMER Course,Rancho Mirage,CA,1346,"Mission Hills Country Club - ARNOLD PALMER Course, Rancho Mirage, CA",2479
Mission Hills Country Club,Mission Hills Country Club - DINAH SHORE Tournament Course,Rancho Mirage,CA,1347,"Mission Hills Country Club - DINAH SHORE Tournament Course, Rancho Mirage, CA",2480
Mission Hills Country Club,Mission Hills Country Club - PETE DYE CHALLENGE Course,Rancho Mirage,CA,1348,"Mission Hills Country Club - PETE DYE CHALLENGE Course, Rancho Mirage, CA",2481
Mission Hills GC,Mission Hills GC,Hayward,CA,1349,"Mission Hills GC, Hayward, CA",2674
Mission Hills Little League Golf Course,Mission Hills Little League Golf Course,Sepulveda,CA,1350,"Mission Hills Little League Golf Course, Sepulveda, CA",14968
Mission Lakes Country Club,Mission Lakes Country Club,Desert Hot Springs,CA,1351,"Mission Lakes Country Club, Desert Hot Springs, CA",2614
Mission Trails Golf Course,Mission Trails Golf Course,San Diego,CA,1352,"Mission Trails Golf Course, San Diego, CA",3930
Mission Viejo Country Club,Mission Viejo Country Club,Mission Viejo,CA,1353,"Mission Viejo Country Club, Mission Viejo, CA",2478
Modesto Muni GC,Modesto Muni GC,Modesto,CA,1354,"Modesto Muni GC, Modesto, CA",14304
Moffett Field (GC at),Moffett Field (GC at),Sunnyvale,CA,1355,"Moffett Field (GC at), Sunnyvale, CA",17935
Monarch Bay GC,Monarch Bay GC - Marina,San Leandro,CA,1356,"Monarch Bay GC - Marina, San Leandro, CA",2661
Monarch Bay GC,Monarch Bay GC - Tony Lema,San Leandro,CA,1357,"Monarch Bay GC - Tony Lema, San Leandro, CA",2807
Monarch Beach Golf Links,Monarch Beach Golf Links,Dana Point,CA,1358,"Monarch Beach Golf Links, Dana Point, CA",2581
Monarch Dunes Golf Club,Monarch Dunes Golf Club - CHALLENGE Course,Nipomo,CA,1359,"Monarch Dunes Golf Club - CHALLENGE Course, Nipomo, CA",6155
Monarch Dunes Golf Club,Monarch Dunes Golf Club - OLD Course,Nipomo,CA,1360,"Monarch Dunes Golf Club - OLD Course, Nipomo, CA",2576
Montebello Golf Course,Montebello Golf Course,Montebello,CA,1361,"Montebello Golf Course, Montebello, CA",3637
Montecito Club,Montecito Club,Santa Barbara,CA,1362,"Montecito Club, Santa Barbara, CA",2477
Monterey Country Club,Monterey Country Club - East/East,Palm Desert,CA,1363,"Monterey Country Club - East/East, Palm Desert, CA",4676
Monterey Country Club,Monterey Country Club - East/South,Palm Desert,CA,1364,"Monterey Country Club - East/South, Palm Desert, CA",2488
Monterey Country Club,Monterey Country Club - Rain Course,Palm Desert,CA,1365,"Monterey Country Club - Rain Course, Palm Desert, CA",4675
Monterey Country Club,Monterey Country Club - South/South,Palm Desert,CA,1366,"Monterey Country Club - South/South, Palm Desert, CA",4678
Monterey Country Club,Monterey Country Club - South/West,Palm Desert,CA,1367,"Monterey Country Club - South/West, Palm Desert, CA",2489
Monterey Country Club,Monterey Country Club - West/East,Palm Desert,CA,1368,"Monterey Country Club - West/East, Palm Desert, CA",2490
Monterey Country Club,Monterey Country Club - West/West,Palm Desert,CA,1369,"Monterey Country Club - West/West, Palm Desert, CA",4677
Monterey Peninsula CC,Monterey Peninsula CC - Dunes,Pebble Beach,CA,1370,"Monterey Peninsula CC - Dunes, Pebble Beach, CA",7774
Monterey Peninsula CC,Monterey Peninsula CC - Shore,Pebble Beach,CA,1371,"Monterey Peninsula CC - Shore, Pebble Beach, CA",7775
Monterey Pines GC,Monterey Pines GC,Monterey,CA,1372,"Monterey Pines GC, Monterey, CA",2669
Moorpark Country Club,Moorpark Country Club - Canyon Crest/Ridgeline,Moorpark,CA,1373,"Moorpark Country Club - Canyon Crest/Ridgeline, Moorpark, CA",14928
Moorpark Country Club,Moorpark Country Club - Creekside/Canyon Crest,Moorpark,CA,1374,"Moorpark Country Club - Creekside/Canyon Crest, Moorpark, CA",14929
Moorpark Country Club,Moorpark Country Club - Ridgeline/Creekside,Moorpark,CA,1375,"Moorpark Country Club - Ridgeline/Creekside, Moorpark, CA",14930
Moraga CC,Moraga CC,Moraga,CA,1376,"Moraga CC, Moraga, CA",7831
Morgan Creek GC,Morgan Creek GC,Roseville,CA,1377,"Morgan Creek GC, Roseville, CA",14298
Morgan Run Resort & Club,Morgan Run Resort & Club - East/East,Rancho Santa Fe,CA,1378,"Morgan Run Resort & Club - East/East, Rancho Santa Fe, CA",4684
Morgan Run Resort & Club,Morgan Run Resort & Club - East/South,Rancho Santa Fe,CA,1379,"Morgan Run Resort & Club - East/South, Rancho Santa Fe, CA",2485
Morgan Run Resort & Club,Morgan Run Resort & Club - North/East,Rancho Santa Fe,CA,1380,"Morgan Run Resort & Club - North/East, Rancho Santa Fe, CA",2486
Morgan Run Resort & Club,Morgan Run Resort & Club - North/North,Rancho Santa Fe,CA,1381,"Morgan Run Resort & Club - North/North, Rancho Santa Fe, CA",4685
Morgan Run Resort & Club,Morgan Run Resort & Club - South/North,Rancho Santa Fe,CA,1382,"Morgan Run Resort & Club - South/North, Rancho Santa Fe, CA",2487
Morgan Run Resort & Club,Morgan Run Resort & Club - South/South,Rancho Santa Fe,CA,1383,"Morgan Run Resort & Club - South/South, Rancho Santa Fe, CA",4686
Morongo Golf Club at Tukwet Canyon,Morongo Golf Club at Tukwet Canyon - Champions,Beaumont,CA,1384,"Morongo Golf Club at Tukwet Canyon - Champions, Beaumont, CA",2560
Morongo Golf Club at Tukwet Canyon,Morongo Golf Club at Tukwet Canyon - Legends,Beaumont,CA,1385,"Morongo Golf Club at Tukwet Canyon - Legends, Beaumont, CA",2561
Morro Bay Golf Course,Morro Bay Golf Course,Morro Bay,CA,1386,"Morro Bay Golf Course, Morro Bay, CA",3659
Mount Huff GC,Mount Huff GC,Crescent Mills,CA,1387,"Mount Huff GC, Crescent Mills, CA",14231
Mount Shasta Resort,Mount Shasta Resort,Mount Shasta City,CA,1388,"Mount Shasta Resort, Mount Shasta City, CA",2671
Mount St Helena GC,Mount St Helena GC,Calistoga,CA,1389,"Mount St Helena GC, Calistoga, CA",17921
Mountain Meadows Golf Course,Mountain Meadows Golf Course,Pomona,CA,1390,"Mountain Meadows Golf Course, Pomona, CA",3640
Mountain View Country Club at La Quinta,Mountain View Country Club at La Quinta,La Quinta,CA,1391,"Mountain View Country Club at La Quinta, La Quinta, CA",2621
Mountain View Golf Course (CLOSED),Mountain View Golf Course (CLOSED),Santa Paula,CA,1392,"Mountain View Golf Course (CLOSED), Santa Paula, CA",2580
Mountain Vista Golf Club at Sun City Palm Desert,Mountain Vista Golf Club at Sun City Palm Desert - San Gorgonio,Palm Desert,CA,1393,"Mountain Vista Golf Club at Sun City Palm Desert - San Gorgonio, Palm Desert, CA",5645
Mountain Vista Golf Club at Sun City Palm Desert,Mountain Vista Golf Club at Sun City Palm Desert - Santa Rosa,Palm Desert,CA,1394,"Mountain Vista Golf Club at Sun City Palm Desert - Santa Rosa, Palm Desert, CA",5646
MountainGate Country Club,MountainGate Country Club - Lake/North,Los Angeles,CA,1395,"MountainGate Country Club - Lake/North, Los Angeles, CA",2492
MountainGate Country Club,MountainGate Country Club - North/South,Los Angeles,CA,1396,"MountainGate Country Club - North/South, Los Angeles, CA",2493
MountainGate Country Club,MountainGate Country Club - South/Lake,Los Angeles,CA,1397,"MountainGate Country Club - South/Lake, Los Angeles, CA",2494
Mt Whitney GC,Mt Whitney GC,Lone Pine,CA,1398,"Mt Whitney GC, Lone Pine, CA",7818
Mt. Woodson Golf Club,Mt. Woodson Golf Club,Ramona,CA,1399,"Mt. Woodson Golf Club, Ramona, CA",3948
Muroc Lake Golf Course,Muroc Lake Golf Course,Edwards,CA,1400,"Muroc Lake Golf Course, Edwards, CA",2565
Napa GC at Kennedy Park,Napa GC at Kennedy Park,Napa,CA,1401,"Napa GC at Kennedy Park, Napa, CA",2666
Napa Valley CC,Napa Valley CC,Napa,CA,1402,"Napa Valley CC, Napa, CA",7830
National City Golf Course,National City Golf Course,National City,CA,1403,"National City Golf Course, National City, CA",26605
Navy Golf Course Seal Beach,Navy Golf Course Seal Beach - Cruiser,Cypress,CA,1404,"Navy Golf Course Seal Beach - Cruiser, Cypress, CA",4687
Navy Golf Course Seal Beach,Navy Golf Course Seal Beach - Destroyer,Cypress,CA,1405,"Navy Golf Course Seal Beach - Destroyer, Cypress, CA",3621
Nevada County CC,Nevada County CC,Grass Valley,CA,1406,"Nevada County CC, Grass Valley, CA",2713
Newport Beach Country Club,Newport Beach Country Club,Newport Beach,CA,1407,"Newport Beach Country Club, Newport Beach, CA",2491
Newport Beach Golf Course,Newport Beach Golf Course,Newport Beach,CA,1408,"Newport Beach Golf Course, Newport Beach, CA",5652
North Golf Course,North Golf Course,Sun City,CA,1409,"North Golf Course, Sun City, CA",5653
North Kern Golf Course,North Kern Golf Course,Bakersfield,CA,1410,"North Kern Golf Course, Bakersfield, CA",3630
North Ranch Country Club,North Ranch Country Club - Lakes/Valley,Westlake Village,CA,1411,"North Ranch Country Club - Lakes/Valley, Westlake Village, CA",2496
North Ranch Country Club,North Ranch Country Club - Oaks/Lakes,Westlake Village,CA,1412,"North Ranch Country Club - Oaks/Lakes, Westlake Village, CA",2495
North Ranch Country Club,North Ranch Country Club - Valley/Oaks,Westlake Village,CA,1413,"North Ranch Country Club - Valley/Oaks, Westlake Village, CA",2497
North Ridge CC,North Ridge CC,Fair Oaks,CA,1414,"North Ridge CC, Fair Oaks, CA",7786
Northstar at Tahoe GC,Northstar at Tahoe GC,Truckee,CA,1415,"Northstar at Tahoe GC, Truckee, CA",14248
Northwood GC,Northwood GC,Monte Rio,CA,1416,"Northwood GC, Monte Rio, CA",2755
Oak Creek GC,Oak Creek GC,Red Bluff,CA,1417,"Oak Creek GC, Red Bluff, CA",2695
Oak Creek Golf Club,Oak Creek Golf Club,Irvine,CA,1418,"Oak Creek Golf Club, Irvine, CA",2562
Oak Quarry Golf Club,Oak Quarry Golf Club,Riverside,CA,1419,"Oak Quarry Golf Club, Riverside, CA",2593
Oak Tree Country Club,Oak Tree Country Club,Tehachapi,CA,1420,"Oak Tree Country Club, Tehachapi, CA",2455
Oak Valley Golf Club,Oak Valley Golf Club,Beaumont,CA,1421,"Oak Valley Golf Club, Beaumont, CA",2592
Oakdale GCC,Oakdale GCC,Oakdale,CA,1422,"Oakdale GCC, Oakdale, CA",14299
Oakhurst CC,Oakhurst CC,Clayton,CA,1423,"Oakhurst CC, Clayton, CA",14249
Oakmont Country Club,Oakmont Country Club,Glendale,CA,1424,"Oakmont Country Club, Glendale, CA",2624
Oakmont Country Club,Oakmont Country Club - NORTH Nine Holes,Glendale,CA,1425,"Oakmont Country Club - NORTH Nine Holes, Glendale, CA",27176
Oakmont Country Club,Oakmont Country Club - SOUTH Nine Holes,Glendale,CA,1426,"Oakmont Country Club - SOUTH Nine Holes, Glendale, CA",27179
Oakmont GC,Oakmont GC - East,Santa Rosa,CA,1427,"Oakmont GC - East, Santa Rosa, CA",14251
Oakmont GC,Oakmont GC - West,Santa Rosa,CA,1428,"Oakmont GC - West, Santa Rosa, CA",7749
Oakmoore GC,Oakmoore GC,Stockton,CA,1429,"Oakmoore GC, Stockton, CA",14238
Oaks North Golf Course,Oaks North Golf Course - EAST 9,San Diego,CA,1430,"Oaks North Golf Course - EAST 9, San Diego, CA",29329
Oaks North Golf Course,Oaks North Golf Course - East/South,San Diego,CA,1431,"Oaks North Golf Course - East/South, San Diego, CA",3951
Oaks North Golf Course,Oaks North Golf Course - NORTH 9,San Diego,CA,1432,"Oaks North Golf Course - NORTH 9, San Diego, CA",29328
Oaks North Golf Course,Oaks North Golf Course - North/East,San Diego,CA,1433,"Oaks North Golf Course - North/East, San Diego, CA",3949
Oaks North Golf Course,Oaks North Golf Course - SOUTH 9,San Diego,CA,1434,"Oaks North Golf Course - SOUTH 9, San Diego, CA",29330
Oaks North Golf Course,Oaks North Golf Course - South/North,San Diego,CA,1435,"Oaks North Golf Course - South/North, San Diego, CA",3950
Ocean Hills Country Club,Ocean Hills Country Club,Oceanside,CA,1436,"Ocean Hills Country Club, Oceanside, CA",5667
Ocean Meadows Golf Club - CLOSED,Ocean Meadows Golf Club - CLOSED,Goleta,CA,1437,"Ocean Meadows Golf Club - CLOSED, Goleta, CA",3580
Oceanside Golf Course,Oceanside Golf Course,Oceanside,CA,1438,"Oceanside Golf Course, Oceanside, CA",3938
O'Donnell Golf Club,O'Donnell Golf Club,Palm Springs,CA,1439,"O'Donnell Golf Club, Palm Springs, CA",2551
Ojai Valley Inn & Spa,Ojai Valley Inn & Spa,Ojai,CA,1440,"Ojai Valley Inn & Spa, Ojai, CA",2499
Old Brockway GC,Old Brockway GC,Kings Beach,CA,1441,"Old Brockway GC, Kings Beach, CA",14280
Old Greenwood GC,Old Greenwood GC,Truckee,CA,1442,"Old Greenwood GC, Truckee, CA",2738
Old Ranch Country Club,Old Ranch Country Club,Seal Beach,CA,1443,"Old Ranch Country Club, Seal Beach, CA",2498
Old River GC,Old River GC,Tracy,CA,1444,"Old River GC, Tracy, CA",2815
Olivas Links,Olivas Links,Ventura,CA,1445,"Olivas Links, Ventura, CA",3609
Olympic Club,Olympic Club - Lakeside,San Francisco,CA,1446,"Olympic Club - Lakeside, San Francisco, CA",14252
Olympic Club,Olympic Club - Ocean,San Francisco,CA,1447,"Olympic Club - Ocean, San Francisco, CA",14253
Orinda CC,Orinda CC,Orinda,CA,1448,"Orinda CC, Orinda, CA",7787
Pacific Grove GL,Pacific Grove GL,Pacific Grove,CA,1449,"Pacific Grove GL, Pacific Grove, CA",2786
Pajaro Valley GC,Pajaro Valley GC,Royal Oaks,CA,1450,"Pajaro Valley GC, Royal Oaks, CA",14291
Pala Mesa Resort,Pala Mesa Resort,Fallbrook,CA,1451,"Pala Mesa Resort, Fallbrook, CA",3946
Palacio Golf Course,Palacio Golf Course,Del Mar,CA,1452,"Palacio Golf Course, Del Mar, CA",5668
Palm Desert Country Club,Palm Desert Country Club - Championship,Palm Desert,CA,1453,"Palm Desert Country Club - Championship, Palm Desert, CA",2550
Palm Desert Greens Country Club,Palm Desert Greens Country Club,Palm Desert,CA,1454,"Palm Desert Greens Country Club, Palm Desert, CA",2156
Palm Desert Resort Country Club,Palm Desert Resort Country Club,Palm Desert,CA,1455,"Palm Desert Resort Country Club, Palm Desert, CA",2631
Palm Lake Golf Course,Palm Lake Golf Course,Pomona,CA,1456,"Palm Lake Golf Course, Pomona, CA",14865
Palm Royale Country Club,Palm Royale Country Club,La Quinta,CA,1457,"Palm Royale Country Club, La Quinta, CA",24034
Palm Valley Country Club,Palm Valley Country Club - Challenge,Palm Desert,CA,1458,"Palm Valley Country Club - Challenge, Palm Desert, CA",2504
Palm Valley Country Club,Palm Valley Country Club - Championship,Palm Desert,CA,1459,"Palm Valley Country Club - Championship, Palm Desert, CA",2505
Palo Alto Hills CC,Palo Alto Hills CC,Palo Alto,CA,1460,"Palo Alto Hills CC, Palo Alto, CA",14307
Palos Verdes Golf Club,Palos Verdes Golf Club,Palos Verdes Estates,CA,1461,"Palos Verdes Golf Club, Palos Verdes Estates, CA",2622
Palos Verdes Shores,Palos Verdes Shores,San Pedro,CA,1462,"Palos Verdes Shores, San Pedro, CA",5666
Paradise Knolls Golf Course (CLOSED),Paradise Knolls Golf Course (CLOSED),Riverside,CA,1463,"Paradise Knolls Golf Course (CLOSED), Riverside, CA",2169
Paradise Valley GC,Paradise Valley GC,Fairfield,CA,1464,"Paradise Valley GC, Fairfield, CA",2707
Pasadera (The Club at),Pasadera (The Club at),Monterey,CA,1465,"Pasadera (The Club at), Monterey, CA",7798
Pasatiempo GC,Pasatiempo GC,Santa Cruz,CA,1466,"Pasatiempo GC, Santa Cruz, CA",7744
Paso Robles GC,Paso Robles GC,Paso Robles,CA,1467,"Paso Robles GC, Paso Robles, CA",2678
Pauma Valley Country Club,Pauma Valley Country Club,Pauma Valley,CA,1468,"Pauma Valley Country Club, Pauma Valley, CA",2503
Peach Tree GCC,Peach Tree GCC,Marysville,CA,1469,"Peach Tree GCC, Marysville, CA",17948
Peacock Gap GCC,Peacock Gap GCC,San Rafael,CA,1470,"Peacock Gap GCC, San Rafael, CA",14272
Pebble Beach GL,Pebble Beach GL,Pebble Beach,CA,1471,"Pebble Beach GL, Pebble Beach, CA",7817
Pelican Hill Golf Club,Pelican Hill Golf Club - Ocean North,Newport Beach,CA,1472,"Pelican Hill Golf Club - Ocean North, Newport Beach, CA",2393
Pelican Hill Golf Club,Pelican Hill Golf Club - Ocean South,Newport Beach,CA,1473,"Pelican Hill Golf Club - Ocean South, Newport Beach, CA",2394
Peninsula GCC,Peninsula GCC,San Mateo,CA,1474,"Peninsula GCC, San Mateo, CA",7812
Penmar Municipal Golf Course,Penmar Municipal Golf Course,Venice,CA,1475,"Penmar Municipal Golf Course, Venice, CA",2187
Petaluma GCC,Petaluma GCC,Petaluma,CA,1476,"Petaluma GCC, Petaluma, CA",17949
PGA West,PGA West - Nicklaus Private Course,La Quinta,CA,1477,"PGA West - Nicklaus Private Course, La Quinta, CA",2460
PGA West,PGA West - Nicklaus Tournament Course,La Quinta,CA,1478,"PGA West - Nicklaus Tournament Course, La Quinta, CA",2463
PGA West,PGA West - Norman Course,La Quinta,CA,1479,"PGA West - Norman Course, La Quinta, CA",2465
PGA West,PGA West - Palmer Private Course,La Quinta,CA,1480,"PGA West - Palmer Private Course, La Quinta, CA",2461
PGA West,PGA West - Stadium Course at PGA WEST,La Quinta,CA,1481,"PGA West - Stadium Course at PGA WEST, La Quinta, CA",2464
