Club Name,Course Name,City,State,Order,Full Name,Course ID,Google Places ID,Latitude,Longitude
Four Seasons Golf Club,Four Seasons Golf Club,Wrens,GA,3809,"Four Seasons Golf Club, Wrens, GA",14900,ChIJa2TovS9o94gRbwkCCG8LPfI,#N/A,#N/A
Fox Creek Golf Club,Fox Creek Golf Club,Smyrna,GA,3810,"Fox Creek Golf Club, Smyrna, GA",9201,ChIJF7aXq9kQ9YgRMWUcFps8hdo,33.895998,-84.509288
Francis Lake Golf Club,Francis Lake Golf Club,Lake Park,GA,3811,"Francis Lake Golf Club, Lake Park, GA",9078,ChIJ3x-f-6X17ogRdlfiZuUmAZU,30.684068,-83.208282
Frederica Golf Club,Frederica Golf Club,St. Simons Island,GA,3812,"Frederica Golf Club, St. Simons Island, GA",9130,ChIJv8OU2zrS5IgRwSxy3EtCZHg,31.25897,-81.362833
Frog Golf Club,Frog Golf Club,Villa Rica,GA,3813,"Frog Golf Club, Villa Rica, GA",8977,ChIJU-vVio0s9YgR9rUkTxYAbbU,33.80048,-84.926156
Georgia Club,Georgia Club - Black/Silver,Statham,GA,3814,"Georgia Club - Black/Silver, Statham, GA",13979,ChIJV-4oeH519ogRsTnYwvnp4ww,33.9402028,-83.5921518
Georgia Club,Georgia Club - Red/Black,Statham,GA,3815,"Georgia Club - Red/Black, Statham, GA",9189,ChIJV-4oeH519ogRsTnYwvnp4ww,33.9402028,-83.5921518
Georgia Club,Georgia Club - Silver/Red,Statham,GA,3816,"Georgia Club - Silver/Red, Statham, GA",13980,ChIJV-4oeH519ogRsTnYwvnp4ww,33.9402028,-83.5921518
Georgia National Golf Club,Georgia National Golf Club,McDonough,GA,3817,"Georgia National Golf Club, McDonough, GA",9010,ChIJoayJUhVF9IgRZAuS7AC2tA8,33.453139,-84.085985
Georgia Southern University Golf Course,Georgia Southern University Golf Course,Statesboro,GA,3818,"Georgia Southern University Golf Course, Statesboro, GA",9181,ChIJN6Vdc1NB-ogRmwhjX-JNb5E,32.361692,-81.778994
Georgia Vets Memorial GC at Lake Blackshear,Georgia Vets Memorial GC at Lake Blackshear,Cordele,GA,3819,"Georgia Vets Memorial GC at Lake Blackshear, Cordele, GA",8971,ChIJ7S6-K8Ik8ogRUjQF_AY1AUM,#N/A,#N/A
Glen Arven Country Club,Glen Arven Country Club,Thomasville,GA,3820,"Glen Arven Country Club, Thomasville, GA",9224,ChIJZT7xZLy17YgRzBtk5vnpCgI,30.81811,-83.952973
Golf Club of Georgia,Golf Club of Georgia - Creekside,Alpharetta,GA,3821,"Golf Club of Georgia - Creekside, Alpharetta, GA",9057,ChIJeanDVIye9YgRCX5fpgYTFcc,34.078229,-84.228131
Golf Club of Georgia,Golf Club of Georgia - Lakeside,Alpharetta,GA,3822,"Golf Club of Georgia - Lakeside, Alpharetta, GA",9056,ChIJeanDVIye9YgRCX5fpgYTFcc,34.078229,-84.228131
Golf Club of South Georgia,Golf Club of South Georgia,Tifton,GA,3823,"Golf Club of South Georgia, Tifton, GA",9199,ChIJyZBf4r_48YgRr2-kRvlmu9Y,31.583352,-83.573256
Golf Junction,Golf Junction,Auburn,GA,3824,"Golf Junction, Auburn, GA",9107,N/A,N/A,N/A
Golfers' Club at Fort McPherson,Golfers' Club at Fort McPherson,Fort McPherson,GA,3825,"Golfers' Club at Fort McPherson, Fort McPherson, GA",9115,ChIJAzhgO8AE9YgRb-wtQQ0mXy4,#N/A,#N/A
Gordon Lakes Golf Club,Gordon Lakes Golf Club - Island,Fort Gordon,GA,3826,"Gordon Lakes Golf Club - Island, Fort Gordon, GA",13986,ChIJ-zhefkTX-YgRtq4Ya9-g6t0,33.4023346,-82.16985
Gordon Lakes Golf Club,Gordon Lakes Golf Club - Island View/Lake View,Fort Gordon,GA,3827,"Gordon Lakes Golf Club - Island View/Lake View, Fort Gordon, GA",14205,ChIJ-zhefkTX-YgRtq4Ya9-g6t0,33.4023346,-82.16985
Gordon Lakes Golf Club,Gordon Lakes Golf Club - Lake,Fort Gordon,GA,3828,"Gordon Lakes Golf Club - Lake, Fort Gordon, GA",13987,ChIJ-zhefkTX-YgRtq4Ya9-g6t0,33.4023346,-82.16985
Gordon Lakes Golf Club,Gordon Lakes Golf Club - Lake View/Pine View,Fort Gordon,GA,3829,"Gordon Lakes Golf Club - Lake View/Pine View, Fort Gordon, GA",14213,ChIJ-zhefkTX-YgRtq4Ya9-g6t0,33.4023346,-82.16985
Gordon Lakes Golf Club,Gordon Lakes Golf Club - Pine,Fort Gordon,GA,3830,"Gordon Lakes Golf Club - Pine, Fort Gordon, GA",13988,ChIJ-zhefkTX-YgRtq4Ya9-g6t0,33.4023346,-82.16985
Gordon Lakes Golf Club,Gordon Lakes Golf Club - Pine View/Island View,Fort Gordon,GA,3831,"Gordon Lakes Golf Club - Pine View/Island View, Fort Gordon, GA",14214,ChIJ-zhefkTX-YgRtq4Ya9-g6t0,33.4023346,-82.16985
Goshen Plantation Golf Club,Goshen Plantation Golf Club,Augusta,GA,3832,"Goshen Plantation Golf Club, Augusta, GA",9267,ChIJCTtONqLF-YgRozP5o_AhBZo,#N/A,#N/A
Governors Towne Club,Governors Towne Club,Acworth,GA,3833,"Governors Towne Club, Acworth, GA",14443,ChIJcS9kZqFH9YgRmmM2-cLNMxg,34.06207,-84.729338
Grand Island Club,Grand Island Club,Albany,GA,3834,"Grand Island Club, Albany, GA",9162,ChIJSUCnK0N88ogRGemMfrNw7pA,#N/A,#N/A
Green Acres Golf and Recreation Club,Green Acres Golf and Recreation Club,Dexter,GA,3835,"Green Acres Golf and Recreation Club, Dexter, GA",8982,ChIJIWre-KMb8YgRRgWN0Nd2BZo,#N/A,#N/A
Green Island Country Club,Green Island Country Club,Columbus,GA,3836,"Green Island Country Club, Columbus, GA",9228,ChIJbWbONPLLjIgR8QhZVnLZPtc,32.538088,-85.006124
Green Meadows Golf Club,Green Meadows Golf Club,Augusta,GA,3837,"Green Meadows Golf Club, Augusta, GA",9248,ChIJA-hvQljP-YgR_7rMRZgd_o0,#N/A,#N/A
Greene County Country Club,Greene County Country Club,Union Point,GA,3838,"Greene County Country Club, Union Point, GA",9212,ChIJmyDoMgZY9ogR1Uv5DB0KqKg,#N/A,#N/A
Griffin Bell Golf & Conference Center,Griffin Bell Golf & Conference Center,Americus,GA,3839,"Griffin Bell Golf & Conference Center, Americus, GA",9245,ChIJxbPbQntX8ogRZmuV6CBpZ8I,32.04798,-84.220571
Griffin City Golf Course,Griffin City Golf Course,Griffin,GA,3840,"Griffin City Golf Course, Griffin, GA",9050,ChIJRSi4_N9h9IgROUwwnPcBi8A,33.2344376,-84.2731025
Hamilton Mill Golf Club,Hamilton Mill Golf Club,Dacula,GA,3841,"Hamilton Mill Golf Club, Dacula, GA",8961,ChIJqRZxbD7r9YgRIg3PFEobKbk,34.056807,-83.899436
Hampton Golf Village,Hampton Golf Village,Cumming,GA,3842,"Hampton Golf Village, Cumming, GA",9219,ChIJoQJ1s-GI9YgRQmSAEz--JyA,34.301548,-84.060578
Harbor Club,Harbor Club,Greensboro,GA,3843,"Harbor Club, Greensboro, GA",9122,ChIJa8HTBwbz9ogRGH4r7ifKVlQ,33.4872934,-83.2129221
Hartwell Golf Club,Hartwell Golf Club,Hartwell,GA,3844,"Hartwell Golf Club, Hartwell, GA",9200,ChIJS7jd-smBWIgRz5NQCmVqx38,34.3283897,-82.9552072
Hawk's Point Golf Club,Hawk's Point Golf Club,Vidalia,GA,3845,"Hawk's Point Golf Club, Vidalia, GA",8923,ChIJQVufdFiP8IgR0Y1H7BNE6_s,32.226933,-82.382028
Hawks Ridge Golf Club,Hawks Ridge Golf Club,Ball Ground,GA,3846,"Hawks Ridge Golf Club, Ball Ground, GA",9233,ChIJeTESjJ549YgRSS-SXQ8opqY,34.259727,-84.272858
Healy Point Country Club,Healy Point Country Club,Macon,GA,3847,"Healy Point Country Club, Macon, GA",9058,ChIJEdfSPukA9IgR11WgbwVpR5o,#N/A,#N/A
Henderson Golf Club,Henderson Golf Club,Savannah,GA,3848,"Henderson Golf Club, Savannah, GA",8999,ChIJl8BkrQwJ-4gRBEs5K0B-3jc,#N/A,#N/A
Heritage Golf Links,Heritage Golf Links - Heritage/Tradition,Tucker,GA,3849,"Heritage Golf Links - Heritage/Tradition, Tucker, GA",14451,ChIJ6Rw5gF6m9YgRczgTEyGpF-g,33.879511,-84.206924
Heritage Golf Links,Heritage Golf Links - Legacy/Heritage,Tucker,GA,3850,"Heritage Golf Links - Legacy/Heritage, Tucker, GA",14450,ChIJ6Rw5gF6m9YgRczgTEyGpF-g,33.879511,-84.206924
Heritage Golf Links,Heritage Golf Links - Tradition/Legacy,Tucker,GA,3851,"Heritage Golf Links - Tradition/Legacy, Tucker, GA",14452,ChIJ6Rw5gF6m9YgRczgTEyGpF-g,33.879511,-84.206924
Heritage Oaks Golf Club,Heritage Oaks Golf Club,Brunswick,GA,3852,"Heritage Oaks Golf Club, Brunswick, GA",9155,ChIJHf7NQzwp5YgRHdpfS9dSk9k,31.233719,-81.541358
Heron Bay Golf Club,Heron Bay Golf Club,Locust Grove,GA,3853,"Heron Bay Golf Club, Locust Grove, GA",13684,ChIJQ7HMn9Zd9IgRF0hOQo2WBD4,33.341518,-84.18192
Hickory Hill Golf Club,Hickory Hill Golf Club - Creekside/Roadside,Jackson,GA,3854,"Hickory Hill Golf Club - Creekside/Roadside, Jackson, GA",8932,ChIJi2Yqb21A9IgRXOB18BXnR4g,33.321681,-83.945734
Hickory Hill Golf Club,Hickory Hill Golf Club - Fieldside/Creekside,Jackson,GA,3855,"Hickory Hill Golf Club - Fieldside/Creekside, Jackson, GA",8934,ChIJi2Yqb21A9IgRXOB18BXnR4g,33.321681,-83.945734
Hickory Hill Golf Club,Hickory Hill Golf Club - Roadside/Fieldside,Jackson,GA,3856,"Hickory Hill Golf Club - Roadside/Fieldside, Jackson, GA",8933,ChIJi2Yqb21A9IgRXOB18BXnR4g,33.321681,-83.945734
Highland Country Club,Highland Country Club,LaGrange,GA,3857,"Highland Country Club, LaGrange, GA",8986,ChIJFSIT39NWi4gRJPojq9I8y4k,33.06534,-85.056834
Highland Golf Club,Highland Golf Club,Conyers,GA,3858,"Highland Golf Club, Conyers, GA",8955,ChIJzaNg6XJM9IgR-HkjjQD3jA4,33.630028,-83.972085
Highland Walk at Victoria Bryant,Highland Walk at Victoria Bryant,Royston,GA,3859,"Highland Walk at Victoria Bryant, Royston, GA",9008,ChIJ1yyoB1In9ogR4TSGgiRwiSU,34.2959893,-83.1562488
Honey Creek Golf & Country Club,Honey Creek Golf & Country Club,Conyers,GA,3860,"Honey Creek Golf & Country Club, Conyers, GA",9278,ChIJzaNg6XJM9IgR-HkjjQD3jA4,33.630028,-83.972085
