Place,Course ID,Place ID
"Demopolis Country Club, Demopolis, AL",63,ChIJmxHwQaOihYgR6JfxGtZ6ORg
"The Ravine Golf Course, Demopolis, AL",64,ChIJJawyIZaZhYgR6PoE5Ozfwvg
"Dothan Country Club, Dothan, AL",65,ChIJIZI8RYuSkogReiPFVNVmgLw
"Dothan National Golf Club, Dothan, AL",66,N/A
"Green Hill Golf Course, Dothan, AL",67,N/A
"Highlands/Marshwood at Highland Oaks Golf Course, Dothan, AL",68,ChIJK4Ed_VqMkogRRiq-hrY8O6s
"Kilgore's Roundabout Plantation Golf Course, Cowarts, AL",69,ChIJg-gCKqmVkogRDpSr4dROoMY
"Magnolia/Highlands at Highland Oaks Golf Course, Dothan, AL",70,ChIJK4Ed_VqMkogRRiq-hrY8O6s
"Marshwood/Magnolia at Highland Oaks Golf Course, Dothan, AL",71,ChIJK4Ed_VqMkogRRiq-hrY8O6s
"Short at Highland Oaks Golf Course, Dothan, AL",72,ChIJK4Ed_VqMkogRRiq-hrY8O6s
"High Point Golf Club, Eight Mile, AL",73,ChIJUdfpIDNTmogRt1u1NMI28zk
"Elba Country Club, Elba, AL",74,ChIJH3cP34YFkogRtgd7QSnI7Qs
"Soldiers Creek Golf Club, Elberta, AL",75,ChIJwf9DzfoJmogR46gZWarPGPk
"Percy Marcum Golf Course, Empire, AL",76,ChIJq-zqqrBViIgRMGDDtJmuReQ
"Enterprise Country Club, Enterprise, AL",77,ChIJzTKQFRRukogRi3dmQ5bpPtE
"Country Club of Alabama, Eufaula, AL",78,ChIJ5Txs_Y5GjYgRMppOQw5smII
"Eufaula Country Club, Eufaula, AL",79,ChIJn9ze3UNHjYgRDKgU3yHJ7qA
"Evergreen Golf Club, Evergreen, AL",80,ChIJKak2GMHSkYgRKZsZZoq9Z5Q
"Quail Creek Golf Course, Fairhope, AL",81,ChIJtQOScbJqmogRnvaxEg52m-8
"Rock Creek Golf Club, Fairhope, AL",82,ChIJh2iBU6RBmogR5qiJV0bndWY
"Fayette Country Club, Fayette, AL",83,ChIJgXbcTXZJhogRIwZWe0keSP4
"Dogwood Hills Golf Club, Flat Rock, AL",84,ChIJpzlOUvnJYYgRDRjC0SlYy-Q
"Blackberry Trail Golf Course, Florence, AL",85,ChIJl8PdthI2fYgRTWz0zMQqOmY
"Glenlakes Golf Club - Lakes Course, Foley, AL",86,ChIJT45V4iEPmogRA3BX8QF_kuA
"Glenlakes Golf Club - Vista/Dunes Course, Foley, AL",87,ChIJT45V4iEPmogRA3BX8QF_kuA
"Gulf Links Golf Center, Foley, AL",88,ChIJK2UYys4PmogRrXIPZGQrA4A
"Magnolia Springs Golf, Foley, AL",89,ChIJddb73i8RmogRvdhtEln-uQ4
"Desoto Country Club, Fort Payne, AL",90,ChIJZ4fawnHWYYgR2QEJqsQGwz4
"Terrapin Hills Country Club, Fort Payne, AL",91,ChIJT_fDO6bWYYgRNBfQQ2cfWso
"Blue/Red at Silver Wings Golf Course, Fort Rucker, AL",92,ChIJKeRCs9lkkogRmjtKw1Chlr8
"Red/White at Silver Wings Golf Course, Fort Rucker, AL",93,ChIJKeRCs9lkkogRmjtKw1Chlr8
"White/Blue at Silver Wings Golf Course, Fort Rucker, AL",94,ChIJKeRCs9lkkogRmjtKw1Chlr8
"Gadsden Country Club, Gadsden, AL",95,ChIJP0UobGA5iogRdMirrY3l-PY
"Twin Bridges Golf Club, Gadsden, AL",96,ChIJ1UUqFOg-iogRXNIk4H-_7D0
"Castle Pines Country Club, Gardendale, AL",97,ChIJzVPpicQFiYgRuLB5F9GOXa8
"River Oaks Golf Course, Geneva, AL",98,ChIJrfqvHxFGkogRSCZ9cbT8vFs
"Backbreaker/Mindbreaker at Silver Lakes, Glencoe, AL",99,ChIJlcUJmSJIiogR-f7lD44AhP8
"Heartbreaker/Backbreaker at Silver Lakes, Glencoe, AL",100,ChIJlcUJmSJIiogR-f7lD44AhP8
"Links at Briarmeade, Glencoe, AL",101,ChIJqXUjcIw4iogRgudLBbrqYeU
"Mindbreaker/Heartbreaker at Silver Lakes, Glencoe, AL",102,ChIJlcUJmSJIiogR-f7lD44AhP8
"Short at Silver Lakes, Glencoe, AL",103,ChIJn455mSJIiogRTS2W9tgjqYA
"Hatchett Creek Golf Club, Goodwater, AL",104,ChIJnT185S74i4gRhb6eOqbyRww
"Blue/Red at Mountain View Golf Course, Graysville, AL",105,ChIJz6EW5Kz9iIgR7qUsq-ByLbE
"Red/White at Mountain View Golf Course, Graysville, AL",106,ChIJz6EW5Kz9iIgR7qUsq-ByLbE
"White/Blue at Mountain View Golf Course, Graysville, AL",107,ChIJz6EW5Kz9iIgR7qUsq-ByLbE
"Lakeview Country Club, Greensboro, AL",108,ChIJ7f-fdojzhYgRsBkyvTmt3v0
"Canyon/Loblolly at Cambrian Ridge, Greenville, AL",109,ChIJq-bGOBo5jogReoML6qtsy1Q
"Greenville Country Club, Greenville, AL",110,ChIJHw2WUjs8jogR_at8sCkTFdc
"Loblolly/Sherling at Cambrian Ridge, Greenville, AL",111,ChIJq-bGOBo5jogReoML6qtsy1Q
"Sherling/Canyon at Cambrian Ridge, Greenville, AL",112,ChIJq-bGOBo5jogReoML6qtsy1Q
"Short at Cambrian Ridge, Greenville, AL",113,ChIJq-bGOBo5jogReoML6qtsy1Q
"Pikeville Country Club, Guin, AL",114,ChIJtz20Pnm7h4gRuyZRUx23D_s
"Eagle's Nest Golf Course at Lake Guntersville State Park, Guntersville, AL",115,ChIJwcaKCJ7_iYgRxP8XwsX89Bo
